modId:ID,name,version,author,pzVersion,description,:LABEL
63beetle,'63 Volkswagen 1300 Beetle,,KI5,42.13.0,"This mod adds Volkswagen 1300 Beetle, from 1963",Mod
91geoMetro,'91 Geo Metro,,KI5,42.13.0,This mod adds Geo Metro from 1991,Mod
AMMS_Standalone,Add More Map Symbols (AMMS),42-1.0.5,Golem,42.0.0,Мод додає нові іконки. Має власні вкладки додані в гру в 42 білді. Функціонально відрізняеться від моду для 41 білда.,Mod
KuromiBackpack,Hello Kitty Backpacks,,,,"Adds the Hello Kitty and Kuromi backpacks to Zomboid. Can be found in clothing stores, womens wardrobes and most commonly school lockers.",Mod
67gt500,'67 Shelby GT500 + Eleanor,,KI5,42.13.0,"This mod adds Shelby GT500, a muscle car from 1967",Mod
89dodgeCaravan,'89 Dodge Caravan,,KI5,42.13.0,"This mod adds Dodge Caravan, a minivan from 1989",Mod
tikitown,Tikitown (B41/B42),,,42.0.0,The modded map Tikitown,Mod
TikitownPower,Tikitown Power Plant,,,42.0.0,"Bring Knox County back online with a fully functional coal power plant featuring deep repair mechanics, rare technical manuals, and a player-controlled power grid.",Mod
63Type2Van,'63 Volkswagen Type 2 Van,,KI5,42.13.0,"This mod adds Volkswagen Type 2, van from 1963",Mod
FunctionalAppliances2,Functional Appliances 2,,Norby007,42.15,"Making useless items usable, popcorn machines and more version B42!",Mod
FixBlowTorchPropaneTank,Fix BlowTorch & PropaneTank,,,,프로판 통 1씩 소모가 되니 주의! <LINE>,Mod
tikitown_tiles,Drazion's Tilepack,,Drazion,42.0.0,Tileset used in Tikitown Map,Mod
BB_Achievements,Braven's Achievements,1.3.0,BitBraven,,This mod adds various Achievements to the game! Can you get them all?,Mod
87toyotaMR2,'87 Toyota MR2,,KI5,42.13.0,This mod adds Toyota MR2 from 1987,Mod
93fordF350,'93 Ford F-Series,,KI5,42.13.0,This mod adds Ford F-Series trucks from 1993,Mod
ChuckleberryFinnAlertSystem,Mod Update and Alert System,,Chuckleberry Finn,42.15,Utility mod used for news and updates.,Mod
93fordTaurus,'93 Ford Taurus,,KI5,42.13.0,This mod adds Ford Taurus from 1993,Mod
87fordB700,'87 Ford B700/F700 Trucks,,KI5,42.13.0,This mod adds Ford B700 Bus and F700 Trucks from 1987,Mod
90bmwE30,'90 BMW 3 Series (E30),,KI5,42.13.0,This mod adds BMW 3 Series (E30) from 1990,Mod
Optimal,Every Texture Optimized – Optimal mode,4.2.0,maceleet,42.11.0,"<RGB:0.71,0.11,0.13> 7500 LIKES – ABSOLUTELY LOSSLESS OPTIMIZATION! <LINE> <RGB:1.0,0.99,0.93> Near-lossless version, the “sweet spot” for those who want the maximum in texture quality and performance. <LINE> The mod supports multiplayer, but you need to install it MANUALLY (before overwriting game files, BE SURE TO MAKE A BACKUP) <LINE> If you encounter a problem please write in: <RGB:0.25,0.83,0.24> [B42] Feedback <LINE>  <LINE> <RGB:0.75,0.64,0.37> P.S: STEAM POINTS and LIKES still the best way to thank me <3",Mod
